OpenTDB Trivia Questions — 5248 verified,,,,,,,,
,,,,,,,,
#,Category,Difficulty,Type,Question,Correct Answer,Incorrect 1,Incorrect 2,Incorrect 3
726,Entertainment: Video Games,Easy,True / False,There are 2 player roles in Trouble in Terrorist Town.,False,True,,
727,Science & Nature,Easy,Multiple Choice,"What was the name of the first artificial Earth satellite, launched by the Soviet Union in 1957?",Sputnik 1,Soyuz 7K-OK,Zenit-2,Voskhod 3KV
728,Art,Hard,True / False,A typical trait of the Expressionist art movement is to distort the world radically for emotional effect.,True,False,,
729,Celebrities,Hard,Multiple Choice,Gabe Newell was born in which year?,1962 ,1970,1960,1972
730,Science: Gadgets,Medium,Multiple Choice,What was the first Infinity Coaster in the world and where is it located?,"The Smiler, Alton Towers, UK","Madagascar Mad Pursuit, Motiongate Dubai, UAE","Gold Rush, Slagharen, Netherlands ","Monster, Adventureland Altoona, USA"
731,Politics,Easy,True / False,One of Donald Trump's 2016 Presidential Campaign promises was to build a border wall between the United States and Mexico.,True,False,,
732,Entertainment: Film,Hard,Multiple Choice,"In ""Star Trek Nemesis"", why was Praetor Shinzon created?",To replace Picard as a Romulan Agent,To destroy the Enterprise,To become Picard's friend ,To steal the Enterprise
733,Entertainment: Film,Easy,Multiple Choice,7-Eleven stores were temporarily converted into Kwik E-marts to promote the release of what movie?,The Simpsons Movie,Spider-Man 3,Shrek the Third,Ratatouille
734,Geography,Hard,Multiple Choice,Which country is the Taedong River in?,North Korea,South Korea,Japan,China
735,Entertainment: Television,Easy,Multiple Choice,In which state of America was the Fresh Prince of Bel-Air born and raised in?,Pennsylvania,Florida,California,New Jersey
736,History,Medium,Multiple Choice,"During what war did the ""Cuban Missile Crisis"" occur?",Cold War,World War I,World War II,Revolutionary War
737,Entertainment: Music,Medium,Multiple Choice,What is the real name of prominent electronic musician Aphex Twin?,Richard D. James,Richard M. Hall,Richard W. Wright,Richard H. Blackmore
738,Geography,Medium,Multiple Choice,What is the capital city of the U.S. state of Texas?,Austin,Dallas,Houston,San Antonio
739,Vehicles,Hard,True / False,"The term ""GTO"" was originated by Ferrari?",True,False,,
740,Entertainment: Musicals & Theatres,Medium,Multiple Choice,"What play is the quote ""Hell is other people"" from?",No Exit,The Devil and the Good Lord,The Condemned of Altona,The Flies
741,Entertainment: Board Games,Easy,True / False,"In the Dungeons and Dragons universe, Beshaba is the deity of bad luck. ",True,False,,
742,General Knowledge,Medium,True / False,Instant mashed potatoes were invented by Canadian Edward Asselbergs in 1962.,True,False,,
743,Entertainment: Board Games,Medium,Multiple Choice,What letter is used to refer to blue mana in the card game Magic The Gathering?,U,B,L,E
744,Science: Gadgets,Easy,Multiple Choice,When was the iPhone released?,2007,2005,2006,2004
745,General Knowledge,Medium,Multiple Choice,Which river flows through the Scottish city of Glasgow?,Clyde,Tay,Dee,Tweed
746,Sports,Easy,Multiple Choice,"What sport features the terms love, deuce, match and volley?",Tennis,Cricket,Basketball,Curling
747,Entertainment: Video Games,Medium,Multiple Choice,"In Skylanders Giants, why was Zaps' Wow Pow named ""For Riley"" ?",As a tribute to a fan who passed away,As a reference to a film,After one of the writers of the game,After a voice actor
748,Science: Computers,Medium,Multiple Choice,"In computing terms, typically what does CLI stand for?",Command Line Interface,Common Language Input,Control Line Interface,Common Language Interface
749,Sports,Medium,Multiple Choice,Which of these English football clubs is based in Liverpool?,Everton,West Ham United,Crystal Palace,Arsenal
750,Entertainment: Japanese Anime & Manga,Hard,Multiple Choice,Who was the Author of the manga Monster Hunter Orage?,Hiro Mashima,Shin Yamamoto,Keiichi Hikami,Hirohiko Araki
751,Animals,Hard,Multiple Choice,What is the Gray Wolf's scientific name?,Canis Lupus,Canis Aureus,Canis Latrans,Canis Lupus Lycaon
752,Entertainment: Video Games,Medium,True / False,David Baszucki was a co-founder of ROBLOX Corporation.,True,False,,
753,Science: Mathematics,Medium,Multiple Choice,At what temperature does temp in °C equal temp in °F?,-40,+40,0,+100
754,Entertainment: Japanese Anime & Manga,Easy,Multiple Choice,Which of the following originated as a manga?,Akira,Cowboy Bebop,High School DxD,Gurren Lagann
755,Entertainment: Music,Medium,Multiple Choice,African-American performer Sammy Davis Jr. was known for losing which part of his body in a car accident?,Left Eye,Right Ear,Right Middle Finger,Nose
756,Entertainment: Video Games,Easy,Multiple Choice,"In the Super Smash Bros. series, which character was the first one to return to the series after being absent from a previous game?",Dr. Mario,Mewtwo,Lucas,Roy
757,Entertainment: Video Games,Medium,Multiple Choice,"In Night in the Woods, which instrument did Casey play?",Drums,Bass,Piano,Sax
758,Entertainment: Japanese Anime & Manga,Medium,True / False,"The anime Attack on Titan was directed by Tetsurō Araki, the same person who directed the anime Highschool of the Dead.",True,False,,
759,Entertainment: Music,Easy,True / False,Stevie Wonder's real name is Stevland Hardaway Morris.,True,False,,
760,Entertainment: Film,Medium,Multiple Choice,Which one of these action movies are shot entirely in one take?,Victoria,Ip Man 2,The Bourne Legacy,Léon: The Professional
761,Entertainment: Japanese Anime & Manga,Medium,Multiple Choice,"In ""Toriko"", which of the following foods is knowingly compatible with Toriko?",Poison Potato,Mors Oil,Alpacookie,Parmesansho Fruit
762,Geography,Easy,Multiple Choice,What is the capital of the US State of New York?,Albany,Buffalo,New York,Rochester
763,General Knowledge,Medium,True / False,Crystal Pepsi was first sold in US markets in 1993.,False,True,,
764,Entertainment: Music,Medium,Multiple Choice,"Which of these is not a single by Pink Floyd guitarist, David Gilmour?",Sunset Strip,Rattle That Lock,Blue Light,Arnold Layne
765,Entertainment: Music,Medium,Multiple Choice,"According to their 1974 hit, what were Brownsville Station doing ""In The Boys' Room""?",Smokin',Hangin',Lovin',Peein'
766,Entertainment: Film,Easy,Multiple Choice,"In ""Jurassic World"", what is the name of the dinosaur that is a genetic hybrid?",Indominus Rex,Mosasaurus,Pteranodon,Tyrannosaurus Rex 
767,History,Hard,Multiple Choice,The Bohemian Revolt (1618-1620) started after Protestants in Prague did what to their Catholic Lords Regents?,Threw them out of a window,Insulted their mothers,Locked them in stockades,Hung them.
768,Entertainment: Japanese Anime & Manga,Medium,Multiple Choice,Who is the main character in One Piece?,Luffy,Shanks,Zoro,Smoker
769,Entertainment: Japanese Anime & Manga,Medium,Multiple Choice,"In the anime, ""Fullmetal Alchemist"", who is known as the 'Flame Alchemist'?",Roy Mustang,Edward Elric,Maes Hughes,Lin Yao
770,Politics,Hard,True / False,Nazi Germany surrendered on Harry Truman's birthday while he was president.,True,False,,
771,Science & Nature,Easy,Multiple Choice,What is the standard SI unit for temperature?,Kelvin,Fahrenheit,Celsius,Rankine
772,Geography,Medium,Multiple Choice,What mountain range lines the border between Spain and France?,Pyrenees,Alps,Carpathians,Urals
773,History,Medium,Multiple Choice,Who was the first mammal successfully launched into Earth's orbit?,"Laika, the dog","Ham, the chimpanzee","Baker, the monkey","Belka, the dog"
774,Animals,Medium,Multiple Choice,Cashmere is the wool from which kind of animal?,Goat,Sheep,Camel,Llama
775,Entertainment: Books,Easy,Multiple Choice,"Who wrote ""A Tale of Two Cities""?",Charles Dickens,Charles Darwin,Mark Twain,Roald Dahl
776,General Knowledge,Medium,Multiple Choice,Which of these companies does NOT manufacture automobiles?,Ducati,Nissan,GMC,Fiat
777,Entertainment: Television,Medium,Multiple Choice,How long was Ken Jennings' win streak on Jeopardy?,74,88,49,62
778,Science: Mathematics,Easy,Multiple Choice,What is a polygon with eight sides called?,Octagon,Hexagon,Nanagon,Heptagon
779,Entertainment: Video Games,Medium,Multiple Choice,What is the AK-47's name in Counter Strike: Source?,CV-47,AK-74,AK,CZ-75
780,Entertainment: Video Games,Medium,Multiple Choice,"In Undertale, how much do Spider Donuts cost in Hotland?",9999G,7G,40G,12G
781,History,Medium,Multiple Choice,"What is the bloodiest event in United States history, in terms of casualties?",Battle of Antietam,Pearl Harbor,September 11th,D-Day
782,Entertainment: Music,Medium,Multiple Choice,Which of these is NOT a song by Pegboard Nerds?,WiFi Tears,Swamp Thing,Emoji,BAMF
783,Entertainment: Video Games,Easy,True / False,"The game ""Battlefield 1"" takes place during World War I.",True,False,,
784,General Knowledge,Medium,Multiple Choice,What is a Burgee?,A flag,A rope,A window,A type of food
785,Entertainment: Music,Medium,Multiple Choice,Which of these artists has NOT been a member of dancehall group Major Lazer?,Skrillex,Diplo,Jillionaire,Walshy Fire
786,Entertainment: Video Games,Medium,Multiple Choice,"The video game publishers known as ""tinyBuild"" published which of these games?",Clustertruck,Don't Starve,Stardew Valley,Slime Rancher
787,Sports,Easy,Multiple Choice,"What is the name of the ""tool"" used to hit the white ball in snooker or billiards?",Cue,Racquet,Bat,Mallet
788,Entertainment: Board Games,Easy,True / False,"There is a Donald Trump Board Game, which was made in 1989.",True,False,,
789,Sports,Easy,Multiple Choice,"In golf, what name is given to a hole score of two under par?",Eagle,Birdie,Bogey,Albatross
790,Vehicles,Medium,Multiple Choice,Which of the following car models has been badge-engineered (rebadged) the most?,Isuzu Trooper,Holden Monaro,Suzuki Swift,Chevy Camaro
791,Art,Hard,Multiple Choice,Which art movement was Pablo Picasso known for co-founding?,Cubism,Futurism,Expressionism,Impressionism
792,Science & Nature,Medium,Multiple Choice,What is the study of the cells and tissues of plants and animals?,Histology,Microbiology,Anatomy,Biochemistry
793,Entertainment: Video Games,Medium,Multiple Choice,"When was the video game ""P.A.M.E.L.A."" released on Steam?","March 9, 2017","January 7, 2007","October 23, 1997","February 16, 2015"
794,Science: Computers,Easy,Multiple Choice,"When Gmail first launched, how much storage did it provide for your email?",1GB,512MB,5GB,Unlimited
795,Entertainment: Board Games,Hard,Multiple Choice,"Which of these cards from ""Magic: The Gathering"" has a flavor text that begins with ""Oi oi oi""?",Uthden Troll,Lotleth Troll,Albino Troll,Harvester Troll
796,Science & Nature,Medium,True / False,The most frequent subconscious activity repeated by the human body is blinking.,False,True,,
797,Politics,Medium,Multiple Choice,Who succeeded Joseph Stalin as General Secretary of the Communist Party of the Soviet Union?,Nikita Khrushchev,Leonid Brezhnev,Mikhail Gorbachev,Boris Yeltsin
798,General Knowledge,Easy,True / False,The Sun rises from the North.,False,True,,
799,Entertainment: Music,Easy,True / False,The music group Daft Punk got their name from a negative review they received.,True,False,,
800,Entertainment: Video Games,Easy,Multiple Choice,Which of these is NOT a player class in Team Fortress 2?,Healer,Demoman,Pyro,Spy
801,Geography,Medium,Multiple Choice,What event led to Liechenstein adding a crown to its flag?,The 1936 Olympics,Coronation of Prince Johann I Joseph in 1805,Charles VI's decree in 1719,Signing of the 1862 Constitution of Liechtenstein
802,Entertainment: Books,Medium,Multiple Choice,"In the ""The Hobbit"", who kills Smaug?",Bard,Bilbo Baggins,Gandalf the Grey,Frodo
803,Geography,Medium,Multiple Choice,Which islands below have been claimed by both Japan and Russia?,Kuril Islands,Paracel Islands,Chagos Islands,Spratly Islands
804,General Knowledge,Easy,Multiple Choice,Trypophobia is the fear of ,groups of holes,swimming in deep water,public speaking,eating too much
805,Art,Hard,Multiple Choice,What was the first successful and commercially viable photographic technique?,The Daguerreotype,Collodion process,The Turin Shroud,Kodachrome film
806,General Knowledge,Easy,Multiple Choice,Which of the following landmarks is not located in New York City?,Lincoln Memorial,Empire State Building,Times Square,Central Park
807,General Knowledge,Easy,Multiple Choice,"In ""Katamari Damacy"", you control a character known as:",The Prince,Fujio,Ichigo ,Foomin
808,Geography,Easy,True / False,Toronto is the capital city of the North American country of Canada.,False,True,,
809,Politics,Hard,Multiple Choice,"Starting from 2000, China banned manufacturing and sales of all video game consoles. On which year was this ban lifted?",2015,2012,2008,2017
810,Entertainment: Film,Medium,Multiple Choice,Who played Sgt. Gordon Elias in 'Platoon' (1986)?,Willem Dafoe,Charlie Sheen,Matt Damon,Johnny Depp
811,General Knowledge,Easy,Multiple Choice,What is Cynophobia the fear of?,Dogs,Birds,Flying,Germs
812,Entertainment: Books,Easy,Multiple Choice,What is the name of the three headed dog in Harry Potter and the Sorcerer's Stone?,Fluffy,Spike,Poofy,Spot
813,Vehicles,Easy,Multiple Choice,"Where are the cars of the brand ""Ferrari"" manufactured?",Italy,Romania,Germany,Russia
814,Entertainment: Video Games,Easy,Multiple Choice,"In the second-generation Pokémon games, which Pokémon can you start with?","Chikorita, Cyndaquil, and Totodile","Bulbasaur, Charmander, and Squirtle","Treecko,Torchic, and Mudkip","Grassy, Firey, and Watery"
815,Entertainment: Video Games,Hard,Multiple Choice,"In the Nintendo Game Splatoon 2, what is Marina's screen name?",DJ_Hyperfresh,MC.princess,Kidnotsquid123,I<30ffTh3H00k
816,Mythology,Medium,Multiple Choice,"Which greek god/goddess tossed a golden apple with the words ""for the fairest"" into the middle of the feast of the gods?",Eris,Hades,Ares,Artemis
817,Entertainment: Video Games,Easy,Multiple Choice,Aperture Science CEO Cave Johnson is voiced by which American actor?,J.K. Simmons,Nolan North,John Patrick Lowrie,Christopher Lloyd
818,Entertainment: Music,Easy,Multiple Choice,"Who is the musical artist who released the hit song, ""Love Song,"" in 2007?",Sara Bareilles,Taylor Swift,Katy Perry,Sarah Silverman
819,Entertainment: Video Games,Easy,True / False,"In 2019, Minecraft outsold Tetris to become the world's best-selling video game.",True,False,,
820,Entertainment: Film,Easy,True / False,"The 2010 film ""The Social Network"" is a biographical drama film about MySpace founder Tom Anderson.",False,True,,
821,Entertainment: Music,Medium,Multiple Choice,"The 2010 song ""Eenie Meenie"" was a collaboration between which two popular artists?",Sean Kingston & Justin Bieber,Eminem & Rihanna,Usher & Pitbull,Lady Gaga & Beyoncé
822,Entertainment: Music,Medium,Multiple Choice,"Which band released the album ""Sonic Highways"" in 2014?",Foo Fighters,Coldplay,Nickelback,The Flaming Lips
823,Science & Nature,Easy,Multiple Choice,What lies at the center of our galaxy?,A black hole,A wormhole,A supernova,A quasar
824,Geography,Medium,Multiple Choice,"On a London Underground map, what colour is the Circle Line?",Yellow,Red,Blue,Green
825,Entertainment: Music,Medium,Multiple Choice,Who is the bassist of the British rock band Queen?,John Deacon,John Major,John Barrowman,John Mayer
826,Entertainment: Video Games,Medium,Multiple Choice,What is the name of the protagonist of Life Is Strange?,Max Caulfield,Frank Bowers,Rachel Amber,Kate Marsh
827,Entertainment: Video Games,Hard,Multiple Choice,Which drive form was added into Kingdom Hearts II Final Mix?,Limit Form,Valor Form,Wisdom Form,Anti Form
828,General Knowledge,Medium,Multiple Choice,What is a dead mall?,A mall with high vacancy rates or low consumer foot traffic,A mall with no stores,A mall that has been condemed,A mall after business hours
829,Entertainment: Video Games,Easy,True / False,In Kingdom Hearts the Paopu fruit is said to intertwine the destinies for two people forever.,True,False,,
830,Entertainment: Video Games,Medium,Multiple Choice,"What CoD ""Deathstreak"" is only featured in Call of Duty : Modern Warfare 2?",Copycat, Martrydom,Final Stand,Revenge
831,Entertainment: Music,Medium,Multiple Choice,What's the most common time signature for rock songs?,4/4,1/2,8/12,2/4
832,Entertainment: Video Games,Easy,True / False,"In the game Dead by Daylight, the killer Michael Myers is refered to as ""The Shape"".",True,False,,
833,Entertainment: Japanese Anime & Manga,Medium,Multiple Choice,"Who is the creator of the manga series ""One Piece""?",Eiichiro Oda,Yoshihiro Togashi,Hayao Miyazaki,Masashi Kishimoto
834,Entertainment: Video Games,Medium,Multiple Choice,"In vanilla Minecraft, you can make armor out of all BUT which of the following?",Emeralds,Diamonds,Iron,Leather
835,Science: Mathematics,Easy,Multiple Choice,How many sides does a trapezium have?,4,3,5,6
836,History,Easy,Multiple Choice,"Which famous world leader is famed for the saying, ""Let them eat cake"", yet is rumored that he/she never said it at all?",Marie Antoinette,Czar Nicholas II,Elizabeth I,Henry VIII
837,History,Hard,Multiple Choice,Which day did World War I begin?,July 28,January 28,June 28,April 28
838,Entertainment: Video Games,Medium,Multiple Choice,"In the Portal series of games, who was the founder of Aperture Science?",Cave Johnson,GLaDOs,Wallace Breen,Gordon Freeman
839,Sports,Medium,Multiple Choice,The F1 season of 1994 is remembered for what tragic event?,Death of Ayrton Senna (San Marino),The Showdown (Australia),Verstappen on Fire (Germany),Schumacher's Ban (Britain)
840,Science & Nature,Hard,Multiple Choice,How long is a light-year?,9.461 Trillion Kilometres,1 AU,105.40 Earth-years,501.2 Million Miles
841,Vehicles,Medium,Multiple Choice,What was the aircraft registration for the last Concorde built?,G-BOAF,F-BTSC,G-BOAC,F-BVFF
842,Entertainment: Music,Medium,Multiple Choice,"Who was the guitarist in the band ""The Doors""?",Robby Krieger,Eric Clapton,John Densmore,Jimi Hendrix
843,Entertainment: Comics,Easy,Multiple Choice,"This Marvel superhero is often called ""The man without fear"".",Daredevil,Thor,Wolverine,Hulk
844,General Knowledge,Medium,Multiple Choice,"What English word means to ""think deeply""?",Contemplate,Confiscate,Constipate,Condensate
845,Entertainment: Film,Hard,Multiple Choice,In what year was the first Indian movie submitted for an Oscar?,1957,1962,1938,1954
846,Entertainment: Music,Hard,Multiple Choice,"""All the Boys"" by Panic! At the Disco was released as a bonus track on what album?","Too Weird To Live, Too Rare To Die!",A Fever You Can't Sweat Out,Death Of A Bachelor,Vices & Virtues
847,Entertainment: Film,Easy,Multiple Choice,Which actress danced the twist with John Travolta in 'Pulp Fiction'?,Uma Thurman,Kathy Griffin,Pam Grier,Bridget Fonda
848,Entertainment: Japanese Anime & Manga,Easy,Multiple Choice,"In ""Future Diary"", what is the name of Yuno Gasai's Phone Diary?",Yukiteru Diary,Murder Diary,Escape Diary ,Justice Diary 
849,History,Medium,Multiple Choice,In which years did the Battle of Gallipoli take place?,1915 - 1916,1914 - 1918,1914 - 1915,1915 - 1918
850,History,Medium,Multiple Choice,The United States Army Air Corps became the United States Air Force on what date?,"September 18, 1947","December 14, 1946","October 27, 1945","November 08, 1944"
851,General Knowledge,Medium,Multiple Choice,"In what year did Halley's Comet, which will not appear again until the year 2061, previously approach Earth?",1986,2001,1942,1909
852,Vehicles,Hard,True / False,In 1993 Swedish car manufacturer Saab experimented with replacing the steering wheel with a joystick in a Saab 9000.,True,False,,
853,General Knowledge,Medium,Multiple Choice,Which of these Nicktoons were NOT originally a short on Oh Yeah! Cartoons before becoming their own series?,Danny Phantom,ChalkZone,My Life as a Teenage Robot,The Fairly OddParents
854,Mythology,Easy,Multiple Choice,How many heads does Cerberus have?,3,2,1,5
855,Entertainment: Music,Easy,Multiple Choice,"Swedish DJ Tim Bergling, who produced songs such as ""Levels"" and ""Wake Me Up"", is better known under what alias?",Avicii,deadmau5,Alesso,Skrillex
856,Entertainment: Video Games,Medium,Multiple Choice,Which episode of the Phantasy Star Online series is exclusive to the Nintendo Gamecube?,Episode III,Episode I,Episode II,Episode IV
857,Entertainment: Video Games,Medium,Multiple Choice,"In the ""Neptunia"" series which nation does Neptune rule over?",Planeptune,Lastation,Leanbox,Lowee
858,Science & Nature,Easy,True / False,All planets in the Solar System orbit the Sun.,True,False,,
859,Entertainment: Film,Medium,Multiple Choice,Which actor and martial artist starred as Colonel Guile in the 1994 action film adaptation of Street Fighter?,Jean-Claude Van Damme,Chuck Norris,Steven Seagal,Scott Adkins
860,Sports,Medium,Multiple Choice,What is the highest belt you can get in Taekwondo?,Black,White,Red,Green
861,Vehicles,Medium,Multiple Choice,"Which car manufacturer created the ""Aventador""?",Lamborghini,Ferrari,Pagani,Bugatti
862,History,Hard,Multiple Choice,"With which Greek philosopher would you associate the phrase, ""I know that I know nothing""?",Socrates,Aristotle,Plato,Pythagoras
863,Entertainment: Video Games,Medium,Multiple Choice,Which one of these games wasn't released in 2016?,Metal Gear Solid V,Tom Clancy's The Division,Killing Floor 2,Hitman
864,Entertainment: Video Games,Medium,Multiple Choice,How many playable characters were there in Street Fighter II: Champion Edition?,12,16,8,17
865,Entertainment: Cartoon & Animations,Easy,Multiple Choice,Which of the following is not a Flintstones character?,Lord Rockingham IX,Rockhead Slate,The Great Gazoo,Barney Rubble
866,Mythology,Hard,Multiple Choice,"According to Algonquian folklore, how does one transform into a Wendigo?",Participating in cannibalism.,Excessive mutilation of animal corpses.,Performing a ritual involving murder.,Drinking the blood of many slain animals.
867,General Knowledge,Easy,Multiple Choice,Which of these colours is NOT featured in the logo for Google?,Pink,Yellow,Blue,Green
868,Entertainment: Video Games,Hard,Multiple Choice,Which of these characters from Final Fantasy VIII primarily spoke in one word sentences?,Fujin,Raijin,Seifer,Zell
869,Entertainment: Japanese Anime & Manga,Hard,Multiple Choice,"In ""Hunter x Hunter"", what are members in Killua's family known for being?",Assassins,Bandits,Hunters,Ninjas
870,Entertainment: Video Games,Hard,Multiple Choice,Which souls game was not directed by Hidetaka Miyazaki?,Dark Souls 2,Demon Souls,Dark Souls,Dark Souls 3
871,Sports,Medium,Multiple Choice,Who was the top scorer of the 2014 FIFA World Cup?,James Rodríguez,Thomas Müller,Lionel Messi,Neymar
872,Entertainment: Video Games,Medium,Multiple Choice,Which of the following games has the most playable characters?,Timesplitters: Future Perfect,Mortal Kombat: Armageddon,Marvel Vs. Capcom 2,Dragon Ball Z: Budokai Tenkaichi 3
873,Entertainment: Music,Medium,Multiple Choice,What was Taylor Swift's 5th album called?,1989,Fearless,Red,Speak Now
874,General Knowledge,Easy,Multiple Choice,What is on display in the Madame Tussaud's museum in London?,Wax sculptures,Designer clothing,Unreleased film reels,Vintage cars
875,Geography,Easy,Multiple Choice,What is the largest country in the world ?,Russian Federation,China,Canada,Brazil
876,Geography,Medium,Multiple Choice,All of the following are towns/villages in the Pacific Island nation of Kiribati EXCEPT:,Urutora,Rungata,London,Washington
877,General Knowledge,Easy,True / False,The New York Subway is the oldest underground in the world.,False,True,,
878,Entertainment: Music,Easy,Multiple Choice,What album did The Lumineers release in 2016?,Cleopatra,Winter,The Lumineers,Tracks From The Attic
879,Sports,Easy,Multiple Choice,"Which country produced football players such as Cafu, Roberto Carlos and Pelé?",Brazil,Argentina,Portugal,Spain
880,Geography,Hard,Multiple Choice,In which city is the Big Nickel located in Canada?,"Sudbury, Ontario","Calgary, Alberta","Halifax, Nova Scotia ","Victoria, British Columbia"
881,Entertainment: Video Games,Hard,True / False,"In Undertale, having a ""Fun Value"" set to 56-57 will play the ""Wrong Number Song Call"".",False,True,,
882,Geography,Medium,Multiple Choice,The US state of New York has about as many inhabitants as?,Romania,Poland,Germany,Hungary
883,Entertainment: Film,Medium,Multiple Choice,"Who played Batman in the 1997 film ""Batman and Robin""?",George Clooney,Michael Keaton,Val Kilmer,Christian Bale
884,Geography,Medium,Multiple Choice,"Eritrea, which became the 182nd member of the UN in 1993, is in the continent of?",Africa,Europe,Asia,South America
885,Entertainment: Music,Hard,Multiple Choice,"Who designed the album cover for True Romance, an album by Estelle?",Rebecca Sugar,Matt Burnett,Ian Jones Quartey,Ben Leven
886,Entertainment: Music,Hard,Multiple Choice,What is the name of the song by Beyoncé and Alejandro Fernández released in 2007?,Amor Gitano,La ultima vez,Rocket,Hasta Dondes Estes
887,Entertainment: Video Games,Hard,Multiple Choice,When was the Valve Corporation founded?,"August 24, 1996","December 26, 1994","March 22, 1997","March 13, 1997"
888,Entertainment: Video Games,Medium,Multiple Choice,"Which of the following characters is NOT playable in ""Resident Evil 6""?",Jill Valentine,Chris Redfield,Sherry Birkin,Helena Harper
889,Entertainment: Japanese Anime & Manga,Hard,True / False,"Throughout the entirety of ""Dragon Ball Z"", Goku only kills two characters: a miniboss named Yakon and Kid Buu.",True,False,,
890,General Knowledge,Medium,Multiple Choice,Computer manufacturer Compaq was acquired for $25 billion dollars in 2002 by which company?,Hewlett-Packard,Toshiba,Asus,Dell
891,Science: Computers,Hard,Multiple Choice,What is the name of the process that sends one qubit of information using two bits of classical information?,Quantum Teleportation,Super Dense Coding,Quantum Entanglement,Quantum Programming
892,Entertainment: Japanese Anime & Manga,Easy,True / False,Clefairy was intended to be Ash's starting Pokémon in the pilot episode of the cartoon.,True,False,,
893,General Knowledge,Medium,True / False,The Happy Face was created by commercial artist Harvey Ball.,True,False,,
894,Entertainment: Cartoon & Animations,Hard,Multiple Choice,What was the name of Jonny's pet dog in The Adventures of Jonny Quest?,Bandit,Lucky,Rocky,Max
895,Entertainment: Film,Hard,Multiple Choice,What was Humphrey Bogart's middle name?,DeForest,DeWinter,Steven,Bryce
896,Geography,Medium,True / False,Russia shares a land border with North Korea.,True,False,,
897,Entertainment: Cartoon & Animations,Medium,True / False,Nutcracker Suite was one of the musical pieces featured in Disney's 1940's film Fantasia.,True,False,,
898,Vehicles,Hard,True / False,There is a Rolls-Royce model called the 'Spectre',False,True,,
899,Entertainment: Video Games,Easy,Multiple Choice,Who is the main villain in Bendy and the ink machine?,Bendy,Joey Drew,Alice,Boris
900,Sports,Medium,Multiple Choice,Which of the following Grand Slam tennis tournaments occurs LAST?,US Open,French Open,Wimbledon,Australian Open
901,Entertainment: Music,Medium,Multiple Choice,"Which Aerosmith album featured ""Walk This Way""?",Toys in the Attic,Rocks,Get Your Wings,Draw the Line
902,Geography,Hard,Multiple Choice,The mountainous Khyber Pass connects which of the two following countries?,Afghanistan and Pakistan,India and Nepal,Pakistan and India,Tajikistan and Kyrgyzstan
903,Entertainment: Video Games,Hard,Multiple Choice,"In Hollow Knight, how many Precepts does Zote have?",Fifty-Seven,Sixty-Nine,Fourty-Three,Ninety-One
904,Entertainment: Books,Hard,Multiple Choice,"In the Magic: The Gathering universe,  the Antiquities, Ice Age, and Alliances expansions take place on which continent?",Terisiare,Aerona,Shiv,Jamuraa
905,History,Medium,Multiple Choice,When did the Battle of the Bulge end?,"January 25, 1945","August 6, 1945","December 7, 1941","December 16, 1944"
906,Entertainment: Music,Medium,Multiple Choice,"What French artist/band is known for playing on the midi instrument ""Launchpad""?",Madeon,Daft Punk ,Disclosure,David Guetta
907,Entertainment: Music,Medium,Multiple Choice,Which of these is NOT a song featured on Green Day's 21st Century Breakdown album?,She's A Rebel,Know Your Enemy,¿Viva la Gloria? (Little Girl),Before The Lobotomy
908,Entertainment: Music,Medium,Multiple Choice,Which European capital city gives its name to a 1981 song by Ultravox?,Vienna,Berlin,Paris,Brussels
909,Entertainment: Japanese Anime & Manga,Easy,Multiple Choice,"Who is the main heroine of the anime, Full Metal Panic!",Kaname Chidori,Teletha Testarossa,Melissa Mao,Kyoko Tokiwa
910,Geography,Medium,Multiple Choice,"In Washington, D.C. what does the ""C"" stand for?",Columbia,Caledonia,Corinthia,City
911,General Knowledge,Medium,True / False,"The French word for ""glass"" is ""glace"".",False,True,,
912,Mythology,Medium,True / False,The Japanese god Izanagi successfully returned his wife Izanami from the Underworld.,False,True,,
913,Entertainment: Japanese Anime & Manga,Medium,Multiple Choice,"In the ""To Love-Ru"" series, how many Trans-weapons were created?",3,1,2,4
914,Entertainment: Television,Medium,Multiple Choice,Which of the following Autobot names in Michael Bay's movies was NOT a name for a Transformer in the original 1980's cartoon?,Mudflap,Skids,Sideswipe,Ratchet
915,Entertainment: Japanese Anime & Manga,Easy,Multiple Choice,"The characters of ""Log Horizon"" are trapped in what game?",Elder Tale,Sword Art Online,Tower Unite,Yggdrasil
916,Science: Computers,Medium,Multiple Choice,What was the first commerically available computer processor?,Intel 4004,Intel 486SX,TMS 1000,AMD AM386
917,General Knowledge,Hard,Multiple Choice,How many calories are in a 355 ml can of Pepsi Cola?,150,200,100,155
918,Entertainment: Music,Hard,Multiple Choice,"Who had a 1981 hit with the song ""Japanese Boy""?",Aneka,Toyah,Sandra,Madonna
919,Entertainment: Music,Hard,Multiple Choice,Which of these songs is not by Tatsuro Yamashita?,Lucky Lady Feel So Good ,Merry-Go Round,Let's Dance Baby,Love Talkin'
920,Geography,Hard,Multiple Choice,What is the land connecting North America and South America?,Isthmus of Panama,Isthmus of Suez,Urals,Australasia
921,Entertainment: Film,Hard,Multiple Choice,Who Voices the Devil on Devil's Flight in Final Destination 3?,Tony Todd,Wendy Christensen,Ian McKinley,Kevin Fischer
